,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,movie id,movie title,release date,video release date,IMDb URL,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Summary,Cast,Director,Rating,Runtime,No. of ratings,YT-Trailer ID
10,10,10,10,11,Seven (Se7en) (1995),01-Jan-95,,https://www.imdb.com/title/tt0114369/,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer... —Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>",Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow,David Fincher,8.6,127.0,1.5M,4M7M-juFLTU
11,11,11,11,12,"Usual Suspects, The (1995)",14-Aug-95,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,YUHutHtIjuc
12,12,12,12,13,Mighty Aphrodite (1995),30-Oct-95,,https://www.imdb.com/title/tt0113819/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus. —Jason Ihle <jrihl@conncoll.edu>",Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro,Woody Allen,7.0,95.0,39K,8POPDGtgEK8
13,13,13,13,14,"Postino, Il (1994)",01-Jan-94,,https://www.imdb.com/title/tt0110877/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti,Michael Radford,7.7,108.0,35K,qUgQgRq2oTU
14,14,14,14,15,Mr. Holland's Opus (1995),29-Jan-96,,https://www.imdb.com/title/tt0113862/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Glenn Holland is a musician and composer who takes a teaching job to pay the rent while, in his 'spare time', he can strive to achieve his true goal - compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success. —<russell.boyd@dsto.defence.gov.au>",Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy,Stephen Herek,7.3,143.0,37K,socsIfd_g38
15,15,15,15,16,French Twist (Gazon maudit) (1995),01-Jan-95,,https://www.imdb.com/title/tt0113149/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Undoubtedly, the smug real estate agent, family man, and father of one, Laurent, is a shameless philanderer. Under the nose of his beautiful but unhappy wife, Loli, the incurable womaniser never misses an opportunity to cheat on her, until one day, the cigarillo-smoking and very lesbian plumber, Marijo, sets foot in their house. Now, the stage looks set for the perfect revenge, and nothing can stand in the way of a woman scorned. Can Loli and Laurent survive the complications of having a stranger in their bedroom? —Nick Riganas",Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel,Josiane Balasko,6.4,104.0,4.9K,TZTb5yeSnGw
16,16,16,16,17,From Dusk Till Dawn (1996),05-Feb-96,,https://www.imdb.com/title/tt0116367/,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with three bodyguards. But soon they discover that the bar is a coven of vampires and they need to fight until dawn to leave the place alive. —Claudio Carvalho, Rio de Janeiro, Brazil",George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu,Robert Rodriguez,7.2,108.0,299K,KrrI1j_Miww
17,17,17,17,18,"White Balloon, The (1995)",01-Jan-95,,https://www.imdb.com/title/tt0112445/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Razieh wants a fat goldfish for the Iranian New Years celebration instead of the skinny ones in her family's pond at home, because the fat fish looks like it's dancing when it swims. After many attempts she and her brother convince their mother to give them her last bit of money. Between their home and the fish store, Razieh loses the money.. She finds it, but it is temptingly just out of her reach. —Rudi Sahebi <rsahebi@voyager.com>",Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani,Jafar Panahi,7.7,85.0,7.1K,ftAaq35NDaY
18,18,18,18,19,Antonia's Line (1995),01-Jan-95,,https://www.imdb.com/title/tt0112379/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical nature of time. —Dawn M. Barclift",Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp,Marleen Gorris,7.5,102.0,8.6K,JBuMzeYYefw
19,19,19,19,20,Angels and Insects (1995),01-Jan-95,,https://www.imdb.com/title/tt0112365/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"The movie is a study of a family of country gentry in Victorian England. William Adamson (Mark Rylance), a young scientist, is introduced into the Alabaster family by Sir Harald Alabaster (Jeremy Kemp) who is also fascinated by insects. William marries the elder daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions. —Volker Boehm",Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall,Philip Haas,6.8,116.0,4.6K,AOzCJzRKSdQ
20,20,20,20,21,Muppet Treasure Island (1996),16-Feb-96,,https://www.imdb.com/title/tt0117110/,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,The Muppets are back into action in another movie based on a novel written by Robert Louis Stevenson. Kermit the Frog and his colleagues go on a warfare against ruthless pirates. They also share their problem-solving journey on sea to rescue a treasure. —Anonymous,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop|Dave Goelz,Brian Henson,7.0,99.0,23K,gWjei5VwG_0
21,21,21,21,22,Braveheart (1995),16-Feb-96,,https://www.imdb.com/title/tt0112573/,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce. —Anonymous",James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley,Mel Gibson,8.3,178.0,991K,fDb9hHLyFME
22,22,22,22,23,Taxi Driver (1976),16-Feb-96,,https://www.imdb.com/title/tt0075314/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew. —Huggo",Diahnne Abbott|Frank Adu|Victor Argo|Gino Ardito|Garth Avery,Martin Scorsese,8.2,114.0,765K,bB7z4Xn5oNA
23,23,23,23,24,Rumble in the Bronx (1995),23-Feb-96,,https://www.imdb.com/title/tt0113326/,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. Meanwhile, one of those petty thugs in the local gang stumbles into a criminal situation way over his head. Blinded by greed, his involvement draws his gang, the kid, Keong, and the whole neighborhood into a deadly crossfire. When the lazy cops fail to successfully resolve matters, Keong takes things into his own hands. Needless to say, much spectacular kung-fu and outrageous action sequences follow.... —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Jackie Chan|Anita Mui|Françoise Yip|Bill Tung|Marc Akerstream,Stanley Tong,6.8,104.0,41K,itJ2hdiZ2jw
24,24,24,24,25,"Birdcage, The (1996)",08-Mar-96,,https://www.imdb.com/title/tt0115685/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as Starina. ""Their"" son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US Senator, and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val, his father and ""mother."" What ensues is comic chaos. —Randy Goldberg <goldberg@nymc.edu>",Robin Williams|Gene Hackman|Nathan Lane|Dianne Wiest|Dan Futterman,Mike Nichols,7.1,117.0,85K,0FzlFVZqyMo
25,25,25,25,26,"Brothers McMullen, The (1995)",01-Jan-95,,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,QKpZIOib0Dw
26,26,26,26,27,Bad Boys (1995),01-Jan-95,,https://www.imdb.com/title/tt0112442/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other. —James Hastie <jdh1000@cus.cam.ac.uk>",Lisa Boyle|Michael Taliferro|Emmanuel Xuereb|Tchéky Karyo|Marc Macaulay,Michael Bay,6.9,119.0,251K,jKCj3XuPG8M
27,27,27,27,28,Apollo 13 (1995),01-Jan-95,,https://www.imdb.com/title/tt0112384/,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade. —Rob Hartill",Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris,Ron Howard,7.6,140.0,282K,gIEO0iGfGeE
28,28,28,28,29,Batman Forever (1995),01-Jan-95,,https://www.imdb.com/title/tt0112462/,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder. —Ed Stephan <stephan@cc.wwu.edu>",Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell,Joel Schumacher,5.4,121.0,242K,Qv7L0fI1fO4
29,29,29,29,30,Belle de jour (1967),01-Jan-67,,https://www.imdb.com/title/tt0061395/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Severine is a beautiful young woman married to a doctor. She loves her husband dearly, but cannot bring herself to be physically intimate with him. She indulges instead in vivid, kinky, erotic fantasies to entertain her sexual desires. Eventually she becomes a prostitute, working in a brothel in the afternoons while remaining chaste in her marriage. —James Meek <james@oz.net>",Catherine Deneuve|Jean Sorel|Michel Piccoli|Geneviève Page|Pierre Clémenti,Luis Buñuel,7.7,100.0,43K,djx8g8MylHE
30,30,30,30,31,Crimson Tide (1995),01-Jan-95,,https://www.imdb.com/title/tt0112740/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"When some Russian rebels take control of some ICBM's, the Americans mobilize. Among the vessels sent is the nuclear sub, USS Alabama. But before they leave they need a new X.O. and among the choices is Commander Hunter, who hasn't seen much action. But the ship's Captain, Ramsey, OK's him. While on the way, there was an incident and Hunter disagreed with how Ramsey handled it. It's evident that Ramsey doesn't think much of Hunter because Hunter was college educated while Ramsey worked his way up. They're given orders to attack but when they were in the process of receiving another order, the ship's communications were damaged, so the entire message was not received. Ramsey decides to continue with their previous order while Hunter wants to reestablish contact first. That's when the two men butt heads that ends with Hunter relieving Ramsey. Later when some men die, some of the officers feel that Hunter is not up to the task so they team up to retake control. But Hunter has taken precautions. —rcs0411@yahoo.com",Denzel Washington|Gene Hackman|Matt Craven|George Dzundza|Viggo Mortensen,Tony Scott,7.3,116.0,107K,LGWDbCHvY0k
31,31,31,31,32,Crumb (1994),01-Jan-94,,https://www.imdb.com/title/tt0109508/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind. As stream-of-consciousness images incessantly flow forth from the tip of his pen, biting social satire is revealed, often along with a disturbing and haunting vision of Crumb's own betes noires and inadequacies. As his acid-trip induced images flicker across our own retinas, we gain a little insight into this complex and highly creative individual. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Robert Crumb|Aline Kominsky-Crumb|Charles Crumb|Maxon Crumb|Robert Hughes,Terry Zwigoff,8.0,119.0,20K,eMM96rSVWe4
32,32,32,32,33,Desperado (1995),01-Jan-95,,https://www.imdb.com/title/tt0112851/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Director Robert Rodriguez picks up where his successful independent debut El Mariachi left off with this slam-bang South of the Border action saga. Bucho (Joaquim DeAlmeida) is a wealthy but casually bloodthirsty drug kingpin who rules a seedy Mexican border town. Bucho and his men make the mistake of angering El Mariachi (Antonio Banderas), a former musician who now carries an arsenal in his guitar case. Bucho was responsible for the death of El Mariachi's girlfriend and put a bullet through his fretting hand, making him unable to play the guitar. Bent on revenge, the musician-turned-killing machine arrives in town to put Bucho out of business, though he finds few allies except for Carolina (Salma Hayek), who runs a bookstore that doesn't seem to attract many readers. Desperado features supporting performances from Cheech Marin as a cynical bartender, Steve Buscemi as the cantina patron who sets up the story, and Quentin Tarantino as a man with a really terrible joke to tell.",Antonio Banderas|Salma Hayek|Joaquim de Almeida|Cheech Marin|Steve Buscemi,Robert Rodriguez,7.2,104.0,179K,mvTBaRXCfXE
33,33,33,33,34,"Doom Generation, The (1995)",01-Jan-95,,https://www.imdb.com/title/tt0112887/,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",James Duval|Rose McGowan|Johnathon Schaech|Cress Williams|Skinny Puppy,Gregg Araki,6.1,83.0,16K,M45op568pBY
34,34,34,34,35,Free Willy 2: The Adventure Home (1995),01-Jan-95,,https://www.imdb.com/title/tt0113114/,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Willy the smart and rebellious whale and Jessie the orphaned boy team up to escape Willy's captivity and horrible owner to get back to his pod. Can they succeed with the help of Annie and Glenn Jessie's foster parents, Randolph the spiritual friend of Willy and Jessie, and Rae Willy's trainer?",Jason James Richter|Francis Capra|Mary Kate Schellhardt|August Schellenberg|Michael Madsen,Dwight H. Little,5.1,95.0,18K,xjos47d5i6k
35,35,35,35,36,Mad Love (1995),01-Jan-95,,https://www.imdb.com/title/tt0113729/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the lake, Matt snoops into her room with his telescope. They meet each other and soon they fall in love with each other. One day, Matt is taking a test at school and Casey activates the fire alarm to stop the test. She is suspended and her father decides to check her into a psychiatric institution. However Matt breaks her out of the hospital. They travel in Matt's car and have lots of fun until the day Matt discovers that Casey has bipolar disorder with periods of depression and periods of elevated mood. When she tries to commit suicide, Matt realizes that she needs specialized help. —Claudio Carvalho, Rio de Janeiro, Brazil",Chris O'Donnell|Drew Barrymore|Matthew Lillard|Richard Chaim|Robert Nadir,Antonia Bird,5.4,93.0,6.5K,rfQJvCquEl8
36,36,36,36,37,Nadja (1994),01-Jan-94,,https://www.imdb.com/title/tt0110620/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Elina Löwensohn|Nic Ratner|Karl Geary|Peter Fonda|Martin Donovan,Michael Almereyda,6.1,93.0,3.2K,cTf9bTURXT4
37,37,37,37,38,"Net, The (1995)",01-Jan-95,,https://www.imdb.com/title/tt0113957/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Angela Bennett is a computer expert. This young and beautiful analyst is never far from a computer and modem. The only activity she has outside of computers is visiting her mother. A friend, whom she's only spoken to over the net and phone, Dale Hessman, sent her a program with a weird glitch for her to de-bug. That night, he left to meet her and was killed in a plane crash. Angela discovers secret information on the disk she has received only hours before she leaves for vacation. Her life then turns into a nightmare, her records are erased from existence and she is given a new identity, one with a police record. She struggles to find out why this has happened and who has it in for her. —Official DVD cover",Sandra Bullock|Jeremy Northam|Dennis Miller|Diane Baker|Wendy Gazelle,Irwin Winkler,5.9,114.0,64K,S999dwn1bZ8
